BOARD FIM2 -- 100% of max nominal fluence - FanIn design,,,,,,Hybrid,TTV2-07,Sensor,4 mini 7,,,,,
Board FIM2,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,557,21369,42,1,0,50,26,2,5,good,,
1,Pedestal,Top,558,0,42,1,0,50,26,2,5,good,,
1,Bias,Top,559,21370,42,1,0,100,34,2,5,good,,
1,Pedestal,Top,560,0,42,1,0,100,34,2,5,good,,
1,Bias,Top,561,21371,42,1,0,150,38,2,5,good,,
1,Pedestal,Top,562,0,42,1,0,150,38,2,5,good,,
1,Bias,Top,563,21372,42,1,0,200,40,2,5,good,,
1,Pedestal,Top,564,0,42,1,0,200,40,2,5,good,,
1,Bias,Top,565,21373,42,1,0,300,42,2,5,good,,
1,Pedestal,Top,566,0,42,1,0,300,42,2,5,good,,
1,Bias,Top,567,21374,42,1,0,400,44,2,5,good,,
1,Pedestal,Top,568,0,42,1,0,400,44,2,5,good,,
1,Bias,Top,569,21375,42,1,0,500,47,2,5,,,
1,Pedestal,Top,570,0,42,1,0,500,47,2,5,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,571,21376,36,1,0,50,27,2,5,,,
2,Pedestal,Top,572,0,36,1,0,50,27,2,5,,,
2,Bias,Top,573,21377,36,1,0,100,35,2,5,,,
2,Pedestal,Top,574,0,36,1,0,100,35,2,5,,,
2,Bias,Top,576,21378,36,1,0,150,40,2,5,,,
2,Pedestal,Top,577,,36,1,0,150,40,2,5,,,
2,Bias,Top,578,21379,36,1,0,200,42,2,5,,,
2,Pedestal,Top,579,0,36,1,0,200,42,2,5,,,
2,Bias,Top,580,21380,36,1,0,300,44,2,5,,,
2,Pedestal,Top,581,,36,1,0,300,44,2,5,,,
2,Bias,Top,582,21381,36,1,0,400,46,2,5,,,
2,Pedestal,Top,583,0,36,1,0,400,46,2,5,,,
2,Bias,Top,584,21382,36,1,0,500,48,2,5,,,
2,Pedestal,Top,585,0,36,1,0,500,48,2,5,,,
,,,,,,,,,,,,,,
1,Pedestal,top,586,0,42,1,-5,400,47,2,5,,,"x-position not updated in Mamba GUI--says 36, actually 42"
1,Angle,Top,587,21383,42,1,-5,400,46,2.5,4.5,good,,"x-position not updated in Mamba GUI--says 36, actually 42"
1,Angle,Top,588,21384,42,1,5,400,46,2.5,4.5,good,,"x-position not updated in Mamba GUI--says 36, actually 42"
1,Angle,Top,589,21385,42,1,10,400,46,2.5,4.5,good,,"x-position not updated in Mamba GUI--says 36, actually 42"
1,Angle,Top,590,21386,42,1,15,400,46,2.5,4.5,good,,"x-position not updated in Mamba GUI--says 36, actually 42"
,,,,,,,,,,,,,,
2,Pedestal,top,591,0,36,1,-5,400,46,2.5,4.5,good,,
2,Angle,Top,592,21387,36,1,-5,400,46,2.5,4.5,good,,
2,Angle,Top,593,21388,36,1,5,400,46,2.5,4.5,good,,
2,Angle,Top,594,21389,36,1,10,400,46,2.5,4.5,good,,
2,Angle,Top,595,21390,36,1,15,400,46,2.5,5.5,good,,
