BOARD FUP1,,Hybrid:,TTV2-01,Sensor,S10938-5997-9,,,,,,,,,
,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
6,Pedestal,Top,290,-,30,1,0,400,228,14,3,Good,,
6,Bias,Top,291,21193,30,1,0,500,237,14,3,Good,,
6,Pedestal,Top,292,-,30,1,0,500,237,14,3,Good,,
,,,,,,,,,,,,,,
1,Pedestal,Top,293,-,73,1,-5,400,231,14,3,Bad,,Angle scans probably wrong
1,Angle,Top,294,21194,73,1,-5,400,231,14,3,Bad,,Angle scans probably wrong
1,Angle,Top,295,21195,73,1,5,400,231,14,3,Bad,,Angle scans probably wrong
1,Angle,Top,296,21196,73,1,10,400,231,14,3,Bad,,Angle scans probably wrong
1,Angle,Top,297,21197,73,1,15,400,231,14,3,Bad,,Angle scans probably wrong
,,,,,,,,,,,,,,
2,Pedestal,Top,298,-,67,1,-5,400,231,14,3,Bad,,Angle scans probably wrong
2,Angle,Top,299,21198,67,1,-5,400,231,14,3,Bad,,Angle scans probably wrong
2,Angle,Top,300,21199,67,1,5,400,231,14,3,Bad,,Angle scans probably wrong
2,Angle,Top,301,21200,67,1,10,400,231,14,3,Bad,,Angle scans probably wrong
2,Angle,Top,302,21201,67,1,15,400,231,14,3,Bad,,Angle scans probably wrong
,,,,,,,,,,,,,,
3,Pedestal,Top,303,-,61,1,-5,400,235,14,3,Bad,,Angle scans probably wrong
3,Angle,Top,304,21202,61,1,-5,400,235,14,3,Bad,,Angle scans probably wrong
3,Angle,Top,305,21203,61,1,5,400,235,14,3,Bad,,Angle scans probably wrong
3,Angle,Top,306,21204,61,1,10,400,235,14,3,Bad,,Angle scans probably wrong
3,Angle,Top,307,21205,61,1,15,400,235,14,3,Bad,,Angle scans probably wrong
,,,,,,,,,,,,,,
4,Pedestal,Top,308,-,50,1,-5,400,235,14,3,Bad,,Angle scans probably wrong
4,Angle,Top,309,21206,50,1,-5,400,235,14,3,Bad,,Angle scans probably wrong
4,Angle,Top,310,21207,50,1,5,400,235,14,3,Bad,,Angle scans probably wrong
4,Angle,Top,311,21208,50,1,10,400,235,14,3,Bad,,Angle scans probably wrong
4,Angle,Top,312,21209,50,1,15,400,235,14,3,Bad,,Angle scans probably wrong
,,,,,,,,,,,,,,
5,Pedestal,Top,313,-,40,1,-5,400,236,14,3,Bad,,Angle scans probably wrong
5,Angle,Top,314,21210,40,1,-5,400,236,14,3,Bad,,Angle scans probably wrong
5,Angle,Top,315,21211,40,1,5,400,236,14,3,Bad,,Angle scans probably wrong
5,Angle,Top,316,21212,40,1,10,400,236,14,3,Bad,,Angle scans probably wrong
