BOARD TTV1_01 -- 25% nominal fluence: P-type mini - new FanIn design,,,,,,Hybrid,TTV1-01,Sensor,4 mini 7,,,,,
Board TTV1_01,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,187,24154,74,2,0,-100,-13,3.3,2,Bad,,"X actually 69--sector, etc.mislabeled"
1,Bias,Top,188,24155,74,2,0,-100,-13,3.1,2,Good,,
1,Pedestal,Top,189,,74,2,0,-100,-13,2.9,2,Good,,
1,Bias,Top,190,24156,74,2,0,-150,-17,2.8,2,Good,,
1,Pedestal,Top,191,,74,2,0,-150,-17,2.8,2,Good,,
1,Bias,Top,192,24157,74,2,0,-200,-22,2.6,2,Good,,
1,Pedestal,Top,193,,74,2,0,-200,-22,2.6,2,Good,,
1,Bias,Top,194,24158,74,2,0,-250,-27,2.6,2,Good,,
1,Pedestal,Top,195,,74,2,0,-250,-27,2.6,2,Good,,
1,Bias,Top,196,24159,74,2,0,-300,-31,2.5,2,Good,,First telecope plane is taking more data than the others. Will reset after run.
1,Pedestal,Top,197,,74,2,0,-300,-31,2.5,2,Good,,
1,Bias,Top,198,24160,74,2,0,-400,-41,2.5,2,Good,,
1,Pedestal,Top,199,,74,2,0,-400,-41,2.5,2,Good,,
1,Bias,Top,200,24161,74,2,0,-500,-54,2.5,2,Good,,
1,Pedestal,Top,201,,74,2,0,-500,-54,2.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,206,24165,69,2,0,-100,-14,2.5,2,Good,,
2,Pedestal,Top,207,,69,2,0,-100,-14,2.5,2,Good,,
2,Bias,Top,208,24166,69,2,0,-150,-20,2.5,2,Good,,
2,Pedestal,Top,209,,69,2,0,-150,-20,2.5,2,Good,,
2,Bias,Top,210,24167,69,2,0,-200,-25,2.5,2,Good,,
2,Pedestal,Top,211,,69,2,0,-200,-25,2.5,2,Good,,
2,Bias,Top,212,24168,69,2,0,-250,-30,2.5,2,Good,,
2,Pedestal,Top,213,,69,2,0,-250,-30,2.5,2,Good,,
2,Bias,Top,214,24169,69,2,0,-300,-35,2.5,2,Good,,
2,Pedestal,Top,215,,69,2,0,-300,-35,2.5,2,Good,,
2,Bias,Top,216,24170,69,2,0,-400,-46,2.5,2,Good,,
2,Pedestal,Top,217,,69,2,0,-400,-46,2.5,2,Good,,
2,Bias,Top,218,24171,69,2,0,-500,-60,2.5,2,Good,,
2,Pedestal,Top,219,,69,2,0,-500,-60,2.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,202,,74,2,-5,-300,-33,2.5,2,Good,,
1,Angle,Top,203,24162,74,2,-5,-300,-33,2.5,2,Good,,
1,Angle,Top,204,24163,74,2,5,-300,-33,2.5,2,Good,,
1,Angle,Top,205,24164,74,2,15,-300,-34,2.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,220,,69,2,-5,-300,-35,2.5,2,Good,,
2,Angle,Top,221,24172,69,2,-5,-300,-35,2.5,2,Good,,
2,Angle,Top,222,24173,69,2,5,-300,-35,2.5,2,Good,,
2,Angle,Top,223,24174,69,2,15,-300,-36,2.5,2,Good,,
