BOARD TTV2_08 -- 0% nominal fluence: P-type mini - new FanUp design,,,,,,Hybrid,TTV2-08,Sensor,3 mini 1,,,,,
Board TTV2_08,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,411,24283,46,2,0,-100,-25,1.5,2,Good,,
1,Pedestal,Top,412,,46,2,0,-100,-24,1.5,2,Good,,
1,Bias,Top,413,24284,46,2,0,-150,-41,1.5,2,Good,,
1,Pedestal,Top,414,,46,2,0,-150,-40,1.5,2,Good,,
1,Bias,Top,415,24285,46,2,0,-200,-61,1.5,2,Good,,
1,Pedestal,Top,416,,46,2,0,-200,-62,1.5,2,Good,,
1,Bias,Top,417,24286,46,2,0,-250,-90,1.5,2,Good,,
1,Pedestal,Top,418,,46,2,0,-250,-91,1.5,2,Good,,
1,Bias,Top,419,24287,46,2,0,-300,-130,1.5,2,Bad,,
1,Bias,Top,420,24288,46,2,0,-300,-150,1.5,2,Bad,,
1,Bias,Top,421,24289,46,2,0,-300,-200,1.5,2,Good,,
1,Pedestal,Top,422,,46,2,0,-300,-220,1.5,2,Good,,
1,Bias,Top,423,24290,46,2,0,-400,-433,1.5,2,Good,,
1,Pedestal,Top,424,,46,2,0,-400,-520,1.5,2,Good,,
1,Bias,Top,425,24291,46,2,0,-500,-850,1.5,2,Good,,
1,Pedestal,Top,426,,46,2,0,-500,-770,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,431,24295,40,2,0,-100,-45,1.5,2,Good,,
2,Pedestal,Top,432,,40,2,0,-100,-45,1.5,2,Good,,
2,Bias,Top,433,24296,40,2,0,-150,-55,1.5,2,Good,,
2,Pedestal,Top,434,,40,2,0,-150,-55,1.5,2,Good,,
2,Bias,Top,435,24297,40,2,0,-200,-99,1.5,2,Good,,
2,Pedestal,Top,436,,40,2,0,-200,-99,1.5,2,Good,,
2,Bias,Top,437,24298,40,2,0,-250,-170,1.5,2,Good,,
2,Pedestal,Top,438,,40,2,0,-250,-170,1.5,2,Good,,
2,Bias,Top,439,24299,40,2,0,-300,-250,1.5,2,Good,,
2,Pedestal,Top,440,,40,2,0,-300,-250,1.5,2,Good,,
2,Bias,Top,441,24300,40,2,0,-400,-495,1.5,2,Good,,
2,Pedestal,Top,442,,40,2,0,-400,-495,1.5,2,Good,,
2,Bias,Top,443,24301,40,2,0,-500,-830,1.5,2,Good,,
2,Pedestal,Top,444,,40,2,0,-500,-830,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,427,,46,2,-5,-300,-226,1.5,2,Good,,
1,Angle,Top,428,24292,46,2,-5,-300,-226,1.5,2,Good,,
1,Angle,Top,429,24293,46,2,5,-300,-226,1.5,2,Good,,
1,Angle,Top,430,24294,46,2,15,-300,-280,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,445,,40,2,-5,-300,-252,1.5,2,Good,,
2,Angle,Top,446,24302,40,2,-5,-300,-252,1.5,2,Good,,
2,Angle,Top,447,24303,40,2,5,-300,-240,1.5,2,Bad,Mamba get stucked,
2,Angle,Top,448,24304,40,2,5,-300,-240,1.5,2,Good,,
2,Angle,Top,449,24305,40,2,15,-300,-256,1.5,2,Good,,
