BOARD TTV2_07 -- 500% nominal fluence: P-type mini - new FanUp design,,,,,,Hybrid,TTV2-07,Sensor,4 mini 6,,,,,
Board TTV2_07,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
2,Bias,Top,100,24106,40,3,0,-150,140,5.5,2,Good,Good,100k events
2,Bias,Top,101,24107,40,3,0,-150,140,5.5,2,Good,Good,
2,Pedestal,Top,102,-,40,3,0,-150,140,5.5,2,Good,Good,
2,Bias,Top,103,24108,40,3,0,-200,163,5.5,2,Good,Good,
2,Pedestal,Top,104,-,40,3,0,-200,163,5.5,2,Good,Good,
2,Bias,Top,105,24109,40,3,0,-250,177,5.5,2,Good,Good,
2,Pedestal,Top,106,-,40,3,0,-250,177,5.5,2,Good,Good,
2,Bias,Top,107,24110,40,3,0,-300,198,5.5,2,Good,Good,
2,Pedestal,Top,108,-,40,3,0,-300,198,5.5,2,Good,Good,
2,Bias,Top,109,24111,40,3,0,-400,203,5.5,2,Good,Good,
2,Pedestal,Top,110,-,40,3,0,-400,203,5.5,2,Good,Good,
2,Bias,Top,111,24112,40,3,0,-500,231,5.5,2,Good,Good,
2,Pedestal,Top,112,-,40,3,0,-500,231,5.5,2,Good,Good,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Bias,Top,113,24113,46,3,0,-150,142,5.5,2,Good,Good,
1,Pedestal,Top,114,-,46,3,0,-150,142,5.5,2,Good,Good,
1,Bias,Top,115,24114,46,3,0,-200,164,5.5,2,Good,Good,
1,Pedestal,Top,116,-,46,3,0,-200,164,5.5,2,Good,Good,
1,Bias,Top,117,24115,46,3,0,-250,178,5.6,2,Good,Good,
1,Pedestal,Top,118,-,46,3,0,-250,178,5.6,2,Good,Good,
1,Bias,Top,119,24116,46,3,0,-300,190,5.6,2,Good,Good,
1,Pedestal,Top,120,-,46,3,0,-300,190,5.6,2,Good,Good,
1,Bias,Top,121,24117,46,3,0,-400,207,5.6,2,Good,Good,
1,Pedestal,Top,122,-,46,3,0,-400,207,5.6,2,Good,Bad,1k events
1,Bias,Top,123,24118,46,3,0,-500,227,5.6,2,Bad,Bad,1k events
1,Bias,Top,124,24119,46,3,0,-500,227,5.6,2,Good,Good,
1,Pedestal,Top,125,-,46,3,0,-500,227,5.6,2,Good,Bad,1k events
,,,,,,,,,,,,,,
1,Pedestal,Top,126,-,46,3,0,-400,207,5.6,2,Good,Good,
1,Pedestal,Top,127,-,46,3,0,-500,227,5.6,2,Good,Good,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,128,-,46,3,-5,-300,200,5.7,2.1,Good,Good,
1,Angle,Top,129,24120,46,3,-5,-300,200,5.7,2.1,Good,Good,
1,Angle,Top,130,24121,46,3,5,-300,200,5.7,2.1,Good,Good,
1,Angle,Top,131,24122,46,3,15,-300,200,5.7,2.1,Good,Good,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,132,-,40,3,-5,-300,200,5.7,2.1,Good,Good,
2,Angle,Top,133,24123,40,3,-5,-300,200,5.7,2.1,Good,Good,
2,Angle,Top,134,24124,40,3,5,-300,200,5.7,2.1,Good,Good,
2,Angle,Top,135,24125,40,3,15,-300,200,5.7,2.1,Good,Good,
