BOARD FUM2 -- 100% of max nominal fluence - new FanUp design,,,,,,Hybrid,TTV2-06,Sensor,6 mini 6,,,,,
Board FUM2,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,358,21244,40,2,0,50,23,1.6,5,,,
1,Pedestal,Top,359,0,40,2,0,50,23,1.6,5,,,
1,Bias,Top,360,21245,40,2,0,100,31,1.6,5,,,
1,Pedestal,Top,361,0,40,2,0,100,31,1.6,5,,,
1,Bias,Top,362,21246,40,2,0,150,34,1.6,5,,,
1,Pedestal,Top,363,0,40,2,0,150,34,1.6,5,,,
1,Bias,Top,364,21247,40,2,0,200,35,1.6,5,,,
1,Pedestal,Top,365,0,40,2,0,200,35,1.6,5,,,
1,Bias,Top,366,21248,40,2,0,300,37,1.6,5,,,
1,Pedestal,Top,367,0,40,2,0,300,37,1.6,5,,,
1,Bias,Top,368,21249,40,2,0,400,38,1.6,5,,,
1,Pedestal,Top,369,0,40,2,0,400,38,1.6,5,,,
1,Bias,Top,370,21250,40,2,0,500,40,1.6,5,,,
1,Pedestal,Top,371,0,40,2,0,500,40,1.6,5,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,372,21251,34,2,0,50,20,0,4,,,
2,Pedestal,Top,373,0,34,2,0,50,20,0,4,,,
2,Bias,Top,374,21252,34,2,0,100,26,0,4,,,
2,Pedestal,Top,375,0,34,2,0,100,26,0,4,,,
2,Bias,Top,376,21253,34,2,0,150,29,0,4,,,
2,Pedestal,Top,377,0,34,2,0,150,29,0,4,,,
2,Bias,Top,378,21254,34,2,0,200,31,0,4,,,
2,Pedestal,Top,379,0,34,2,0,200,31,0,4,,,
2,Pedestal,Top,381,0,34,2,0,300,32,0,4,,,
2,Bias,Top,384,21258,34,2,0,300,32,0,4,,,
2,Bias,Top,385,21259,34,2,0,400,35,0,4,,,
2,Pedestal,Top,386,0,34,2,0,400,35,0,4,,,
2,Bias,Top,387,21260,34,2,0,500,36,1,4,,,
2,Pedestal,Top,388,0,34,2,0,500,36,1,4,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,389,0,40,2,-5,400,35,1,4,,,
1,Angle,Top,390,21261,40,2,-5,400,35,1,4,,,
1,Angle,Top,391,21262,40,2,5,400,35,1,4,,,
1,Angle,Top,392,21263,40,2,10,400,35,1,4,,,
1,Angle,Top,393,21264,40,2,15,400,35,1,4,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,394,0,34,2,-5,400,35,1,4,,,
2,Angle,Top,395,21265,34,2,-5,400,35,1,4,,,
2,Angle,Top,396,21266,34,2,5,400,35,1,4,,,
2,Angle,Top,397,21267,34,2,10,400,35,1,4,,,
2,Angle,Top,398,21268,34,2,15,400,35,1,4,,,
