BOARD FUM1 -- 25% of max nominal fluence - new FanUp design,,,,,,Hybrid,TTV1-01,Sensor,4 mini 1,,,,,
BOARD FUM1,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,45,21049,65,3,0,50,4,4.5,4.1,,,
1,Pedestal,Top,46,0,65,3,0,50,4,4.5,4.1,,,
1,Bias,Top,47,21050,65,3,0,100,6,4.5,4.1,,,
1,Pedestal,Top,48,0,65,3,0,100,6,4.5,4.1,,,
1,Bias,Top,49,21051,65,3,0,150,7.3,4.5,4.1,,,
1,Pedestal,Top,50,0,65,3,0,150,7.3,4.5,4.1,,,
1,Bias,Top,51,21052,65,3,0,200,8,4.5,3.5,,,
1,Pedestal,Top,52,0,65,3,0,200,8,4.5,3.5,,,
1,Bias,Top,54,21055,65,3,0,300,8.7,5,3.3,,,
1,Pedestal,Top,55,0,65,3,0,300,8.7,5,3.3,,,
1,Bias,Top,58,21059,65,3,0,400,9,5,3.3,,,
1,Pedestal,Top,59,0,65,3,0,400,8,5,3.3,,,
1,Bias,Top,60,21060,65,3,0,500,9.4,5,3.3,,,
1,Pedestal,Top,61,0,65,3,0,500,9.4,5,3.3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,62,21061,60,3,0,50,4.5,5,3.7,,,
2,Pedestal,Top,63,0,60,3,0,50,4.5,5,3.7,,,
2,Bias,Top,64,21062,60,3,0,100,6.5,5,3.7,,,
2,Pedestal,Top,65,0,60,3,0,100,6.5,5,3.7,,,
2,Bias,Top,66,21063,60,3,0,150,7.8,5,3.7,,,
2,Pedestal,Top,67,0,60,3,0,150,7.8,5,3.7,,,
2,Bias,Top,68,21064,60,3,0,200,8.5,5,3.7,,,
2,Pedestal,Top,69,0,60,3,0,200,8.5,5,3.7,,,
2,Bias,Top,71,21069,60,3,0,300,9,5,3.5,,,
2,Pedestal,Top,72,0,60,3,0,300,9,5,3.5,,,
2,Bias,Top,73,21070,60,3,0,400,9.3,5,3.5,,,
2,Pedestal,Top,74,0,60,3,0,400,9.3,5,3.5,,,
2,Bias,Top,75,21071,60,3,0,500,9.6,5,3.5,,,
2,Pedestal,Top,76,0,60,3,0,500,9.6,5,3.5,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Bias,Top,77,21072,65,15,0,400,9.4,5,3.5,,,
3,Pedestal,Top,78,0,65,15,0,400,9.4,5,3.5,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,79,0,65,3,0,400,9.4,5,3.5,,,
1,Angle,Top,80,21073,65,3,-5,400,9.4,5,3.5,,,
1,Angle,Top,81,21074,65,3,5,400,9.4,5,3.5,,,
1,Angle,Top,82,21075,65,3,10,400,9.4,5,3.5,,,
1,Angle,Top,83,21076,65,3,15,400,9.4,5,3.5,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,84,0,60,3,0,400,9.4,5,3.5,,,
2,Angle,Top,85,21077,60,3,-5,400,9.4,5,3.5,,,
2,Angle,Top,86,21078,60,3,5,400,9.4,5,3.5,,,
2,Angle,Top,87,21079,60,3,10,400,9.4,5,3.5,,,
2,Angle,Top,88,21080,60,3,15,400,9.4,5,3.5,,,
