BOARD TTV2_03 -- 0% nominal fluence: P-type mini - new FanIn design,,,,,,Hybrid,TTV2-03,Sensor,1 mini 7,,,,,
Board TTV2_03,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,336,24239,48,2,0,-100,-0.26,4.1,2,Good,,MAMBA GUI has current 100x greater than it is
1,Pedestal,Top,337,-,48,2,0,-100,-0.26,4.1,2,Good,,MAMBA GUI has current 100x greater than it is
1,Bias,Top,338,24240,48,2,0,-150,-0.64,4,2,Good,,MAMBA GUI has current 100x greater than it is
1,Pedestal,Top,339,-,48,2,0,-150,-0.64,4,2,Good,,MAMBA GUI has current 100x greater than it is
1,Bias,Top,340,24241,48,2,0,-200,-1,4,2,Good,,
1,Pedestal,Top,341,-,48,2,0,-200,-1,4,2,Good,,
1,Bias,Top,342,24242,48,2,0,-250,-1.5,4,2,Good,,
1,Pedestal,Top,343,-,48,2,0,-250,-1.5,4,2,Good,,
1,Bias,Top,344,24243,48,2,0,-300,-2,3.9,2,Good,,
1,Pedestal,Top,345,-,48,2,0,-300,-2,3.9,2,Good,,
1,Bias,Top,346,24244,48,2,0,-400,-4.3,3.9,2,Good,,
1,Pedestal,Top,347,-,48,2,0,-400,-4.3,3.9,2,Good,,
1,Bias,Top,348,24245,48,2,0,-500,-8,3.9,2,Good,,
1,Pedestal,Top,349,-,48,2,0,-500,-8,3.9,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,354,24249,42,2,0,-150,-0.61,3.9,2,Good,,
2,Pedestal,Top,355,-,42,2,0,-150,-0.61,3.9,2,Good,,
2,Bias,Top,356,24250,42,2,0,-200,-1,3.9,2,Good,,
2,Pedestal,Top,357,-,42,2,0,-200,-1,3.9,2,Good,,
2,Bias,Top,358,24251,42,2,0,-250,-1.5,3.9,2,Good,,
2,Pedestal,Top,359,-,42,2,0,-250,-1.5,3.9,2,Good,,
2,Bias,Top,360,24252,42,2,0,-300,-2.1,3.9,2,Good,,
2,Pedestal,Top,361,-,42,2,0,-300,-2.1,3.9,2,Good,,
2,Bias,Top,362,24253,42,2,0,-400,-4.27,3.9,2,Good,,
2,Pedestal,Top,363,-,42,2,0,-400,-4.27,3.9,2,Good,,
2,Bias,Top,364,24254,42,2,0,-500,-8,3.9,2,Good,,
2,Pedestal,Top,365,-,42,2,0,-500,-9.7,1.7,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,350,,48,2,-5,-300,-2.1,3.9,2,Good,,
1,Angle,Top,351,24246,48,2,-5,-300,-2.1,3.9,2,Good,,
1,Angle,Top,352,24247,48,2,5,-300,-2.1,3.9,2,Good,,
1,Angle,Top,353,24248,48,2,15,-300,-2.1,4,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,366,-,42,2,-5,-300,-2.4,2,2,Good,,
2,Angle,Top,367,24255,42,2,-5,-300,-2.4,2,2,Bad,,Telescope plane error
2,Angle,Top,368,24256,42,2,-5,-300,-2.4,2,2,Good,,
2,Angle,Top,369,24257,42,2,5,-300,-2.4,2.7,2,Good,,
2,Angle,Top,370,24258,42,2,15,-300,-2.4,3,2,Good,,
