BOARD TTV2_08 -- 0% nominal fluence: P-type mini - new FanUp design,,,,,,Hybrid,TTV2-08,Sensor,1 mini 1,,,,,
Board TTV2_08,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,371,24259,74,2,0,-100,-13,2,2,Good,,
1,Pedestal,Top,372,,74,2,0,-100,-14,2,2,Good,,
1,Bias,Top,373,24260,74,2,0,-150,-23,1.5,2,Bad,,telescope plane error
1,Bias,Top,374,24261,74,2,0,-150,-23,1.5,2,Bad,,wrong kepler number
1,Bias,Top,375,24262,74,2,0,-150,-23,1.5,2,Good,,
1,Pedestal,Top,376,,74,2,0,-150,-23,1.5,2,Good,,
1,Bias,Top,377,24263,74,2,0,-200,-41,1.5,2,Good,,
1,Pedestal,Top,378,,74,2,0,-200,-41,1.5,2,Good,,
1,Bias,Top,379,24264,74,2,0,-250,-63,1.5,2,Good,,
1,Pedestal,Top,380,,74,2,0,-250,-63,1.5,2,Good,,
1,Bias,Top,381,24265,74,2,0,-300,-86,1.5,2,Good,,
1,Pedestal,Top,382,,74,2,0,-300,-86,1.5,2,Good,,
1,Bias,Top,383,24266,74,2,0,-400,-158,1.5,2,Good,,
1,Pedestal,Top,384,,74,2,0,-400,-180,1.5,2,Good,,
1,Bias,Top,385,24267,74,2,0,-500,-345,1.5,2,Good,,
1,Pedestal,Top,386,,74,2,0,-500,-345,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,391,24271,69,2,0,-100,-22,1.5,2,Good,,
2,Pedestal,Top,392,,69,2,0,-100,-19,1.5,2,Good,,
2,Bias,Top,393,24272,69,2,0,-150,-34,1.5,2,Good,,
2,Pedestal,Top,394,,69,2,0,-150,-37,1.5,2,Good,,
2,Bias,Top,395,24273,69,2,0,-200,-61,1.5,2,Good,,
2,Pedestal,Top,396,,69,2,0,-200,-61,1.5,2,Good,,
2,Bias,Top,397,24274,69,2,0,-250,-90,1.5,2,Bad,,telescope plane error
2,Bias,Top,398,24275,69,2,0,-250,-90,1.5,2,Good,,
2,Pedestal,Top,399,,69,2,0,-250,-100,1.5,2,Good,,
2,Bias,Top,400,24276,69,2,0,-300,-159,1.5,2,Good,,
2,Pedestal,Top,401,,69,2,0,-300,-159,1.5,2,Good,,
2,Bias,Top,402,24277,69,2,0,-400,-340,1.5,2,Bad,,"Lost SPS beam during the run, 1h with no beam"
2,Bias,Top,403,24278,69,2,0,-400,-256,1.5,2,Good,,"Once powercycled, the current is lower"
2,Pedestal,Top,404,,69,2,0,-400,-290,1.5,2,Good,,
2,Bias,Top,405,24279,69,2,0,-500,-585,1.5,2,Good,,
2,Pedestal,Top,406,,69,2,0,-500,-585,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,387,,74,2,-5,-300,-104,1.5,2,Good,,
1,Angle,Top,388,24268,74,2,-5,-300,-104,1.5,2,Good,,
1,Angle,Top,389,24269,74,2,5,-300,-128,1.5,2,Good,,
1,Angle,Top,390,24270,74,2,15,-300,-128,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,407,,69,2,-5,-300,,1.5,2,Good,,
2,Angle,Top,408,24280,69,2,-5,-300,,1.5,2,Good,,
2,Angle,Top,409,24281,69,2,5,-300,,1.5,2,Good,,
2,Angle,Top,410,24282,69,2,15,-300,,1.5,2,Good,,
