BOARD FIM1 -- 25% of max nominal fluence - FanIn design,,,,,,Hybrid,TTV2-08,Sensor,6 mini 2,,,,,
BOARD FIM1,FanIn,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,647,21419,71,3,0,50,5,4,6.5,good,,
1,Pedestal,Top,648,0,71,3,0,50,5,4,6.5,good,,
1,Bias,Top,645,21418,71,3,0,100,7.4,4,6.5,good,,
1,Pedestal,Top,646,0,71,3,0,100,7.4,4,6.5,good,,
1,Bias,Top,643,21417,71,3,0,150,9,4,6.5,good,,
1,Pedestal,Top,644,0,71,3,0,150,9,4,6.5,good,,
1,Bias,Top,640,21416,71,3,0,200,9.6,4,6.5,good,,
1,Pedestal,Top,641,,71,3,0,200,9.6,4,6.5,good,,
1,Bias,Top,638,21415,71,3,0,300,10,4,6.5,good,,
1,Pedestal,Top,639,0,71,3,0,300,10,4,6.5,good,,
1,Bias,Top,636,21414,71,3,0,400,10,4,6.5,good,,
1,Pedestal,Top,637,0,71,3,0,400,10,4,6.5,good,,
1,Bias,Top,634,21413,71,3,0,500,10,4,7,good,,
1,Pedestal,Top,635,0,71,3,0,500,10,4,7,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,649,21420,63,3,0,50,5,4,6,good,,
2,Pedestal,Top,650,0,63,3,0,50,5,4,6,good,,
2,Bias,Top,651,21421,63,3,0,100,7.4,4,6,good,,
2,Pedestal,Top,652,0,63,3,0,100,7.4,4,6,good,,
2,Bias,Top,653,21422,63,3,0,150,9,4,6,good,,
2,Pedestal,Top,654,0,63,3,0,150,9,4,6,good,,
2,Bias,Top,655,21423,63,3,0,200,9.6,4.8,6,good,,temperature still dropping when we started the run
2,Pedestal,Top,656,0,63,3,0,200,9.6,4.3,6.3,good,,
2,Bias,Top,657,21424,63,3,0,300,9.4,4.3,6.3,good,,
2,Pedestal,Top,658,0,63,3,0,300,9.4,4.3,6.3,good,,
2,Bias,Top,659,21425,63,3,0,400,9.5,4,6,good,,
2,Pedestal,Top,660,0,63,3,0,400,9.5,4,6,good,,
2,Bias,Top,661,21426,63,3,0,500,9.7,4,6,good,,
2,Pedestal,Top,662,0,63,3,0,500,9.7,4,6,good,,
,,,,,,,,,,,,,,
1,Pedestal,Top,669,0,71,3,-5,400,10.5,5,6,good,,
1,Angle,Top,670,21432,71,3,-5,400,10.5,5,6,good,,
1,Angle,Top,671,21433,71,3,5,400,10.8,5,5,good,,accidentally marked as -5 degrees in Mamba GUI
1,Angle,Top,672,21434,71,3,10,400,10.9,5,5,good,,
1,Angle,Top,673,21435,71,3,15,400,10.9,5,5,good,,
,,,,,,,,,,,,,,
2,Pedestal,Top,663,0,63,3,-5,400,9.6,4,6,good,,
2,Angle,Top,664,21427,63,3,-5,400,9.6,4,6,bad,,kepler started too early
2,Angle,Top,665,21428,63,3,-5,400,9.6,4,6,good,,
2,Angle,Top,666,21429,63,3,5,400,10.4,5,6,good,,
2,Angle,Top,667,21430,63,3,10,400,10.5,5,6,good,,
2,Angle,Top,668,21431,63,3,15,400,10.6,5,6,good,,
