BOARD TTV2_06 -- 100% nominal fluence: P-type mini - new FanUp design,,,,,,Hybrid,TTV2-06,Sensor,3 mini 6,,,,,
Board TTV2_06,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,502,24337,46,2,0,-100,-22,1.5,2,Good,Bad,Telescope Plane Error
1,Bias,Top,503,24338,46,2,0,-100,-22,1.5,2,Good,,
1,Pedestal,Top,504,-,46,2,0,-100,-22,1.5,2,Good,,
1,Bias,Top,484,24326,46,2,0,-150,-28,1.5,2,Good,,
1,Pedestal,Top,485,,46,2,0,-150,-28,1.5,2,Good,,
1,Bias,Top,486,24327,46,2,0,-200,-33,1.5,2,Bad,Mamba stucked,
1,Bias,Top,487,24328,46,2,0,-200,-33,1.5,2,Good,,
1,Pedestal,Top,488,,46,2,0,-200,-33,1.5,2,Good,,
1,Bias,Top,489,24329,46,2,0,-250,-34,1.5,2,Good,,
1,Pedestal,Top,490,,46,2,0,-250,-34,1.5,2,Good,,
1,Bias,Top,491,24330,46,2,0,-300,-34,1.5,2,Good,,
1,Pedestal,Top,492,,46,2,0,-300,-34,1.5,2,Good,,
1,Bias,Top,493,24331,46,2,0,-400,-35,1.5,2,Good,,
1,Pedestal,Top,494,,46,2,0,-400,-35,1.5,2,Good,,
1,Bias,Top,495,24332,46,2,0,-500,-37,1.5,2,Bad,Telescope error,
1,Bias,Top,496,24333,46,2,0,-500,-37,1.5,2,Good,,
1,Pedestal,Top,497,,46,2,0,-500,-37,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,505,24339,41,2,0,-100,-22,1.5,2,Bad,Telescope Error,
2,Bias,Top,506,24340,41,2,0,-100,-22,1.5,2,Good,,
2,Pedestal,Top,507,-,41,2,0,-100,-22,1.5,2,Good,,
2,Bias,Top,508,24341,41,2,0,-150,-29,1.5,2,Good,,
2,Pedestal,Top,509,-,41,2,0,-150,-29,1.5,2,Good,,
2,Bias,Top,510,24342,41,2,0,-200,-33,1.5,2,Good,,
2,Pedestal,Top,511,-,41,2,0,-200,-33,1.5,2,Good,,
2,Bias,Top,512,24343,41,2,0,-250,-34,1.5,2,Good,,
2,Pedestal,Top,513,-,41,2,0,-250,-34,1.5,2,Good,,
2,Bias,Top,514,24344,41,2,0,-300,-35,1.5,2,Good,,
2,Pedestal,Top,515,-,41,2,0,-300,-35,1.5,2,Good,,
2,Bias,Top,516,24345,41,2,0,-400,-36,1.5,2,Good,,
2,Pedestal,Top,517,-,41,2,0,-400,-36,1.5,2,Good,,
2,Bias,Top,518,24346,41,2,0,-500,-37,1.5,2,Good,,
2,Pedestal,Top,519,-,41,2,0,-500,-37,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,498,-,46,2,-5,-300,-35,1.5,2,Good,,
1,Angle,Top,499,24334,46,2,-5,-300,-35,1.5,2,Good,,
1,Angle,Top,500,24335,46,2,5,-300,-35,1.5,2,Good,,
1,Angle,Top,501,24336,46,2,15,-300,-35,1.5,2,Good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,520,-,41,2,-5,-300,-35,1.5,2,Good,,
2,Angle,Top,521,24347,41,2,-5,-300,-35,1.5,2,Good,,
2,Angle,Top,522,24348,41,2,5,-300,-35,1.5,2,Good,,
2,Angle,Top,523,24349,41,2,15,-300,-35,1.5,2,Good,,
