BOARD FUP2,,Hybrid:,TTV2-02,Sensor:,S10938-5997-8,,,,,,,,,
,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
6,Pedestal,Top,172,0,30,1,0,400,263,13.5,3,good,,
6,Bias,Top,173,21123,30,1,0,500,273,13.5,3,good,,
6,Pedestal,Top,174,0,30,1,0,500,273,13.5,3,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,175,0,72,1,-5,400,266,13.5,3,Bad,,Angle may not be right
1,Angle,Top,176,21124,72,1,-5,400,266,13.5,3,Bad,,Angle may not be right
1,Angle,Top,177,21125,72,1,5,400,266,13.5,3,Bad,,Angle may not be right
1,Angle,Top,178,21126,72,1,10,400,266,13.5,3,Bad,,Angle may not be right
1,Angle,Top,179,21127,72,1,15,400,266,13.5,3,Bad,,"Kepler data may have problem as it crushed at the end, retake in the next run"
1,Angle,Top,180,21128,72,1,15,400,266,13.5,3,Bad,,Angle may not be right
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,181,0,66,1,-5,400,263,13.5,3,Bad,,
2,Angle,Top,182,21129,66,1,-5,400,263,13.5,3,Bad,,Angle may not be right
2,Angle,Top,183,21130,66,1,5,400,263,13.5,3,Bad,,Angle may not be right
2,Angle,Top,184,21131,66,1,10,400,263,13.5,3,Bad,,Angle may not be right
2,Angle,Top,185,21132,66,1,15,400,263,13.5,3,Bad,,Angle may not be right
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Pedestal,Top,186,0,60,1,-5,400,266,13.5,3,Bad,,
3,Angle,Top,187,21133,60,1,-5,400,266,13.5,3,Bad,,Angle may not be right
3,Angle,Top,188,21134,60,1,5,400,266,13.5,3,Bad,,Angle may not be right
3,Angle,Top,190,21136,60,1,10,400,266,13.5,3,Bad,,Angle may not be right
3,Angle,Top,191,21137,60,1,15,400,266,13.5,3,Bad,,Angle may not be right
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Pedestal,Top,192,0,46,1,-5,400,265,13.5,3,Bad,,
4,Angle,Top,193,21138,46,1,-5,400,265,13.5,3,Bad,,Angle may not be right
4,Angle,Top,194,21139,46,1,5,400,265,13.5,3,Bad,,Angle may not be right
4,Angle,Top,195,21140,46,1,10,400,265,13.5,3,Bad,,Angle may not be right
4,Angle,Top,196,21141,46,1,15,400,265,13.5,3,Bad,,Angle may not be right
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,Pedestal,Top,197,0,38,1,-5,400,261,13.5,3,Bad,,
5,Angle,Top,198,21142,38,1,-5,400,261,13.5,3,Bad,,Angle may not be right
5,Angle,Top,199,21143,38,1,5,400,261,13.5,3,Bad,,Angle may not be right
5,Angle,Top,200,21144,38,1,10,400,261,13.5,3,Bad,,Angle may not be right
5,Angle,Top,201,21145,38,1,15,400,261,13.5,3,Bad,,Angle may not be right
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Pedestal,Top,202,0,30,1,-5,400,261,13.5,3,Bad,,
6,Angle,Top,203,21146,30,1,-5,400,261,13.5,3,Bad,,Angle may not be right
6,Angle,Top,204,21147,30,1,5,400,261,13.5,3,Bad,,Angle may not be right
6,Angle,Top,205,21148,30,1,10,400,261,13.5,3,Bad,,Angle may not be right
6,Angle,Top,206,21149,30,1,15,400,261,13.5,3,Bad,,Angle may not be right
,,,,,,,,,,,,,,
1,Pedestal,Top,523,0,72,1,-5,400,263,15.8,9.5,,,
1,Angle,Top,524,21341,72,1,-5,400,263,15.8,9.5,good,,
1,Angle,Top,525,21342,72,1,5,400,259,15.5,8.5,good,,didn't update the Mamba GUI with latest temperature and RH
1,Angle,Top,526,21343,72,1,10,400,259,15.5,8.5,good,,
1,Angle,Top,527,21344,72,1,15,400,259,15.5,8.5,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,528,0,66,1,-5,400,259,15.5,8.5,good,,
2,Angle,Top,530,21346,66,1,-5,400,259,15.5,8.5,good,,
2,Angle,Top,531,21347,66,1,5,400,259,15.5,7,good,,
2,Angle,Top,532,21348,66,1,10,400,259,15.5,7,good,,
2,Angle,Top,533,21349,66,1,15,400,259,15.5,7,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,Pedestal,Top,534,0,60,1,-5,400,206,13,7,good,,
3,Angle,Top,535,21350,60,1,-5,400,206,13,7,good,,
3,Angle,Top,536,21351,60,1,5,400,206,13,7,good,,
3,Angle,Top,537,21352,60,1,10,400,206,13,7,good,,
3,Angle,Top,538,21353,60,1,15,400,206,13,7,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,Pedestal,Top,539,0,46,1,-5,400,206,13,7,good,,
4,Angle,Top,540,21354,46,1,-5,400,206,13,7,good,,
4,Angle,Top,542,21356,46,1,5,400,206,13,7,good,,
4,Angle,Top,543,21357,46,1,10,400,206,13,7,good,,
4,Angle,Top,544,21358,46,1,15,400,206,13,7,bad,,"aborted run at 880K events, due to beam loss, should be ok though"
4,Angle,Top,545,21359,46,1,15,400,206,13,7,good,,
,,,,,,,,,,,,,,
5,Pedestal,Top,546,0,38,1,-5,400,206,13,7,good,,
5,Angle,Top,547,21360,38,1,-5,400,206,13,7,bad,,aborted run
5,Angle,Top,548,21361,38,1,-5,400,206,13,7,good,,
5,Angle,Top,549,21362,38,1,5,400,206,13,7,good,,
5,Angle,Top,550,21363,38,1,10,400,206,13,7,good,,
5,Angle,Top,551,21364,38,1,15,400,206,13,7,good,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,Pedestal,Top,552,0,30,1,-5,400,206,13,7,good,,
6,Angle,Top,553,21365,30,1,-5,400,206,13,7,good,,
6,Angle,Top,554,21366,30,1,5,400,206,13,7,good,,
6,Angle,Top,555,21367,30,1,10,400,206,13,7,good,,
6,Angle,Top,556,21368,30,1,15,400,206,13,7,good,,
