BOARD FUM2 -- 25% of max nominal fluence - new FanUp design,,,,,,Hybrid,TTV2-06,Sensor,6 mini 1,,,,,
Board FUM2,FanUp,,DUT Run #,Kepler Run #,Stage,Stage,Stage,Bias,Current,Temp,RH,Online Flag,Offline Flag,Note
Sector,Purpose,Bias,Run #,Run #,X (mm),Y (mm),Rot (deg),(V),(uA),( C ),(%),(Good/Bad),(Good/Bad),
1,Bias,Top,399,21269,68,2,0,50,22,1,4,,,
1,Pedestal,Top,400,0,68,2,0,50,22,1,4,,,
1,Bias,Top,401,21270,68,2,0,100,29,1,4,,,
1,Pedestal,Top,402,0,68,2,0,100,29,1,4,,,
1,Bias,Top,403,21271,68,2,0,150,32,1,4,,,
1,Pedestal,Top,404,0,68,2,0,150,32,1,4,,,
1,Bias,Top,405,21272,68,2,0,200,33,1,4,,,
1,Pedestal,Top,406,0,68,2,0,200,33,1,4,,,
1,Bias,Top,407,21273,68,2,0,300,35,1,4,,,
1,Pedestal,Top,408,0,68,2,0,300,35,1,4,,,
1,Bias,Top,409,21274,68,2,0,400,37,1,4,,,
1,Pedestal,Top,410,0,68,2,0,400,37,1,4,,,
1,Bias,Top,411,21275,68,2,0,500,38,1,3,,,
1,Pedestal,Top,412,0,68,2,0,500,38,1,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Bias,Top,413,21276,61,2,0,50,22,1,3,,,
2,Pedestal,Top,414,0,61,2,0,50,22,1,3,,,
2,Bias,Top,415,21277,61,2,0,100,30,1,3,,,
2,Pedestal,Top,416,0,61,2,0,100,30,1,3,,,
2,Bias,Top,417,21278,61,2,0,150,33,1,3,,,
2,Pedestal,Top,418,0,61,2,0,150,33,1,3,,,
2,Bias,Top,419,21279,61,2,0,200,34,1,3,,,
2,Pedestal,Top,420,0,61,2,0,200,34,1,3,,,
2,Bias,Top,421,21280,61,2,0,300,35,1,3,,,
2,Pedestal,Top,422,0,61,2,0,300,35,1,3,,,
2,Bias,Top,423,21281,61,2,0,400,37,1,3,,,
2,Pedestal,Top,424,0,61,2,0,400,37,1,3,,,
2,Bias,Top,425,21282,61,2,0,500,38,1,3,,,
2,Pedestal,Top,426,0,61,2,0,500,38,1,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Pedestal,Top,427,0,68,2,-5,400,37,1,3,,,
1,Angle,Top,428,21283,68,2,-5,400,37,1,3,,,
1,Angle,Top,429,21284,68,2,5,400,37,1,3,,,
1,Angle,Top,432,21286,68,2,10,400,37,1,3,,,Note that 431_21286 is not good due to Kepler issue
1,Angle,Top,433,21287,68,2,15,400,37,1,3,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,Pedestal,Top,434,0,61,2,-5,400,37,1,3,,,
2,Angle,Top,435,21288,61,2,-5,400,37,1,3,,,
2,Angle,Top,436,21289,61,2,5,400,37,1,3,,,
2,Angle,Top,437,21290,61,2,10,400,37,1,3,,,
2,Angle,Top,438,21291,61,2,15,400,37,1,3,,,
,,,,,,,,,,,,,,
3,Pedestal,Bottom,439,0,66,14,0,400,37,1,3,,,
3,Angle,Bottom,440,21292,66,14,0,400,37,1,3,,,
